Sample Number,ADC Value
1,235
2,251
3,250
4,258
5,263
6,261
7,258
8,274
9,277
10,272
11,283
12,282
13,283
14,283
15,276
16,266
17,283
18,282
19,274
20,298
21,285
22,304
23,280
24,266
25,270
26,280
27,299
28,277
29,284
30,291
31,282
32,271
33,260
34,276
35,286
36,280
37,281
38,284
39,277
40,278
41,273
42,274
43,280
44,277
45,283
46,276
47,280
48,274
49,278
50,270
51,273
52,280
53,274
54,277
55,290
56,312
57,332
58,353
59,414
60,459
61,509
62,512
63,587
64,616
65,650
66,670
67,697
68,712
69,742
70,783
71,782
72,810
73,816
74,835
75,822
76,846
77,853
78,888
79,894
80,914
81,904
82,930
83,942
84,946
85,966
86,968
87,987
88,996
89,994
90,983
91,967
92,934
93,914
94,893
95,880
96,856
97,834
98,812
99,794
100,785
101,752
102,737
103,728
104,697
105,703
106,668
107,637
108,646
109,652
110,639
111,625
112,638
113,644
114,650
115,677
116,696
117,725
118,758
119,771
120,808
121,811
122,866
123,882
124,910
125,912
126,919
127,948
128,967
129,986
130,990
131,998
132,1024
133,1018
134,1045
135,1071
136,1078
137,1092
138,1098
139,1114
140,1116
141,1112
142,1152
143,1160
144,1119
145,1103
146,1087
147,1060
148,1049
149,1024
150,992
151,978
152,958
153,950
154,914
155,904
156,864
157,872
158,856
159,843
160,831
161,808
162,792
163,779
164,776
165,749
166,736
167,738
168,712
169,702
170,691
171,707
172,696
173,722
174,760
175,757
176,818
177,794
178,847
179,867
180,892
181,898
182,936
183,938
184,944
185,955
186,970
187,990
188,1002
189,1010
190,1024
191,1020
192,1046
193,1049
194,1054
195,1070
196,1083
197,1080
198,1086
199,1084
200,1066
201,1048
202,1038
203,1018
204,992
205,956
206,959
207,946
208,923
209,902
210,859
211,876
212,858
213,841
214,825
215,808
216,808
217,781
218,778
219,761
220,758
221,736
222,716
223,717
224,706
225,700
226,686
227,680
228,660
229,639
230,639
231,616
232,608
233,606
234,588
235,590
236,578
237,566
238,555
239,550
240,538
241,518
242,520
243,507
244,510
245,496
246,488
247,478
248,474
249,459
250,464
251,452
252,455
253,438
254,430
255,420
256,423
257,394
258,399
259,388
260,375
261,382
262,387
263,372
264,374
265,370
266,366
267,370
268,354
269,348
270,328
271,350
272,322
273,330
274,346
275,326
276,329
277,319
278,303
279,315
280,304
281,315
282,310
283,306
284,278
285,290
286,293
287,301
288,290
289,261
290,249
291,274
292,268
293,268
294,266
295,253
296,256
297,250
298,254
299,244
300,238
301,227
302,221
303,235
304,226
305,226
306,213
307,200
308,202
309,184
310,204
311,196
312,179
313,186
314,186
315,156
316,166
317,174
318,170
319,157
320,169
321,160
322,151
323,161
324,159
325,164
326,154
327,158
328,150
329,148
330,145
331,146
332,136
333,142
334,141
335,133
336,141
337,135
338,133
339,133
340,136
341,125
342,130
343,129
344,134
345,131
346,126
347,121
348,126
349,124
350,111
351,120
352,128
353,121
354,128
355,137
356,122
357,115
358,128
359,122
360,122
361,109
362,111
363,118
364,116
365,120
366,118
367,118
368,119
369,128
370,122
371,115
372,120
373,115
374,107
375,117
376,112
377,114
378,114
379,113
380,117
381,115
382,113
383,109
384,112
385,119
386,118
387,118
388,110
389,110
390,120
391,110
392,109
393,111
394,106
395,107
396,114
397,102
398,107
399,101
400,105
