Sample Number,ADC Value
1,493
2,491
3,486
4,483
5,476
6,468
7,467
8,468
9,469
10,467
11,462
12,460
13,460
14,444
15,407
16,367
17,343
18,324
19,274
20,156
21,18
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,30
49,212
50,354
51,514
52,691
53,851
54,976
55,1064
56,1124
57,1167
58,1202
59,1223
60,1230
61,1232
62,1234
63,1238
64,1243
65,1248
66,1248
67,1251
68,1254
69,1257
70,1260
71,1262
72,1263
73,1264
74,1253
75,1246
76,1240
77,1230
78,1238
79,1240
80,1244
81,1249
82,1250
83,1251
84,1250
85,1242
86,1182
87,1022
88,827
89,626
90,103
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,22
126,245
127,423
128,599
129,758
130,886
131,990
132,1081
133,1146
134,1186
135,1209
136,1224
137,1231
138,1240
139,1246
140,1251
141,1258
142,1256
143,1258
144,1264
145,1272
146,1280
147,1286
148,1290
149,1294
150,1298
151,1304
152,1306
153,1308
154,1315
155,1315
156,1314
157,1312
158,1312
159,1306
160,1298
161,1296
162,1291
163,1292
164,1200
165,956
166,672
167,100
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,224
202,416
203,642
204,851
205,1012
206,1124
207,1200
208,1250
209,1284
210,1304
211,1310
212,1306
213,1298
214,1286
215,1276
216,1264
217,1250
218,1240
219,1234
220,1227
221,1224
222,1222
223,1224
224,1224
225,1224
226,1222
227,1220
228,1218
229,1219
230,1220
231,1220
232,1222
233,1217
234,1210
235,1208
236,1210
237,1212
238,1204
239,1153
240,1048
241,896
242,738
243,209
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,17
277,236
278,419
279,612
280,787
281,934
282,1036
283,1112
284,1155
285,1178
286,1192
287,1195
288,1198
289,1202
290,1204
291,1199
292,1196
293,1194
294,1195
295,1201
296,1206
297,1208
298,1211
299,1212
300,1208
301,1200
302,1197
303,1194
304,1190
305,1187
306,1184
307,1180
308,1176
309,1172
310,1170
311,1170
312,1170
313,1168
314,1161
315,1104
316,930
317,582
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,110
356,336
357,554
358,762
359,918
360,1027
361,1090
362,1134
363,1156
364,1174
365,1189
366,1203
367,1212
368,1215
369,1218
370,1220
371,1222
372,1222
373,1221
374,1218
375,1214
376,1210
377,1208
378,1208
379,1210
380,1214
381,1220
382,1226
383,1234
384,1243
385,1251
386,1257
387,1260
388,1256
389,1243
390,1222
391,1128
392,965
393,582
394,0
395,0
396,0
397,0
398,0
399,0
400,0
