Sample Number,ADC Value
1,0
2,327
3,995
4,1544
5,1802
6,1866
7,1912
8,2050
9,2402
10,2192
11,1398
12,701
13,407
14,266
15,198
16,187
17,719
18,1704
19,1955
20,1883
21,1934
22,2232
23,2098
24,1381
25,700
26,470
27,814
28,1682
29,1930
30,1898
31,1936
32,2218
33,2139
34,1864
35,1780
36,2016
37,2026
38,1912
39,1964
40,2328
41,2323
42,2019
43,1666
44,1440
45,1405
46,1960
47,2068
48,1978
49,1886
50,2227
51,2370
52,2054
53,1422
54,1179
55,1460
56,1956
57,2026
58,1958
59,2088
60,2403
61,2236
62,1898
63,1390
64,1410
65,1978
66,2054
67,2012
68,2274
69,2529
70,2206
71,1543
72,980
73,1380
74,1962
75,2074
76,2099
77,2490
78,2682
79,2400
80,1950
81,1316
82,859
83,1107
84,1923
85,2082
86,2027
87,2124
88,2414
89,2182
90,1562
91,1035
92,864
93,1333
94,1996
95,2026
96,2110
97,2432
98,2186
99,1674
100,1326
