Sample Number,ADC Value
1,579
2,578
3,579
4,580
5,579
6,579
7,579
8,580
9,579
10,579
11,580
12,579
13,580
14,580
15,579
16,580
17,579
18,580
19,580
20,578
21,580
22,580
23,580
24,581
25,580
26,580
27,578
28,580
29,579
30,580
31,580
32,581
33,580
34,581
35,580
36,580
37,580
38,577
39,581
40,580
41,580
42,575
43,581
44,580
45,580
46,579
47,579
48,583
49,580
50,581
51,586
52,580
53,581
54,580
55,580
56,581
57,580
58,580
59,580
60,580
61,580
62,580
63,579
64,581
65,580
66,581
67,581
68,581
69,581
70,581
71,581
72,582
73,580
74,581
75,581
76,577
77,580
78,579
79,582
80,580
81,579
82,579
83,579
84,580
85,580
86,580
87,580
88,579
89,581
90,580
91,580
92,582
93,580
94,580
95,580
96,580
97,580
98,581
99,580
100,581
101,580
102,580
103,581
104,581
105,581
106,580
107,580
108,580
109,581
110,581
111,579
112,580
113,580
114,580
115,580
116,580
117,582
118,581
119,581
120,580
121,579
122,579
123,580
124,580
125,581
126,582
127,581
128,581
129,582
130,580
131,580
132,581
133,581
134,580
135,580
136,581
137,580
138,580
139,580
140,579
141,582
142,580
143,580
144,579
145,580
146,580
147,579
148,582
149,580
150,581
151,582
152,582
153,581
154,582
155,580
156,582
157,581
158,581
159,582
160,581
161,580
162,581
163,580
164,581
165,581
166,581
167,582
168,582
169,580
170,580
171,581
172,582
173,578
174,581
175,580
176,580
177,581
178,582
179,581
180,580
181,581
182,582
183,582
184,582
185,580
186,581
187,582
188,581
189,581
190,581
191,581
192,580
193,582
194,581
195,584
196,582
197,580
198,581
199,581
200,580
201,581
202,581
203,581
204,580
205,579
206,580
207,580
208,580
209,580
210,581
211,580
212,581
213,580
214,580
215,580
216,580
217,580
218,579
219,580
220,580
221,580
222,580
223,580
224,580
225,581
226,580
227,578
228,579
229,580
230,580
231,579
232,582
233,582
234,585
235,583
236,582
237,581
238,580
239,580
240,581
241,580
242,580
243,579
244,580
245,579
246,577
247,579
248,578
249,579
250,580
251,578
252,579
253,581
254,587
255,588
256,589
257,587
258,588
259,589
260,588
261,589
262,587
263,587
264,588
265,589
266,588
267,587
268,589
269,589
270,588
271,587
272,588
273,588
274,588
275,590
276,588
277,588
278,588
279,588
280,588
281,587
282,588
283,588
284,587
285,587
286,587
287,586
288,588
289,588
290,588
291,588
292,587
293,588
294,586
295,588
296,587
297,586
298,588
299,586
300,587
301,587
302,587
303,587
304,587
305,586
306,587
307,587
308,586
309,587
310,587
311,588
312,586
313,587
314,587
315,586
316,587
317,586
318,587
319,586
320,586
321,586
322,587
323,594
324,586
325,586
326,586
327,587
328,587
329,587
330,586
331,587
332,587
333,587
334,586
335,587
336,587
337,586
338,587
339,586
340,588
341,588
342,588
343,587
344,586
345,587
346,586
347,588
348,587
349,588
350,587
351,587
352,587
353,587
354,586
355,586
356,589
357,586
358,586
359,586
360,587
361,586
362,586
363,586
364,587
365,586
366,586
367,586
368,586
369,586
370,586
371,587
372,586
373,586
374,588
375,586
376,587
377,585
378,586
379,586
380,587
381,587
382,586
383,586
384,583
385,586
386,587
387,585
388,586
389,586
390,587
391,586
392,586
393,586
394,586
395,586
396,586
397,586
398,586
399,587
400,587
