Sample Number,ADC Value
1,826
2,874
3,834
4,854
5,838
6,778
7,783
8,848
9,883
10,893
11,838
12,829
13,916
14,1033
15,954
16,922
17,1019
18,971
19,986
20,1010
21,946
22,986
23,920
24,939
25,941
26,850
27,964
28,841
29,890
30,888
31,806
32,878
33,824
34,838
35,814
36,794
37,739
38,760
39,752
40,779
41,730
42,731
43,740
44,714
45,727
46,709
47,722
48,692
49,702
50,698
51,672
52,700
53,720
54,758
55,788
56,815
57,826
58,826
59,908
60,953
61,963
62,967
63,998
64,1064
65,1050
66,1068
67,1041
68,1118
69,1154
70,1192
71,1188
72,1214
73,1218
74,1224
75,1234
76,1236
77,1267
78,1294
79,1296
80,1270
81,1284
82,1324
83,1276
84,1274
85,1296
86,1258
87,1258
88,1219
89,1180
90,1096
91,1124
92,1131
93,1062
94,1064
95,1034
96,1014
97,1015
98,1000
99,956
100,956
101,965
102,939
103,905
104,906
105,903
106,890
107,860
108,858
109,856
110,870
111,831
112,850
113,781
114,826
115,787
116,760
117,763
118,736
119,800
120,794
121,699
122,747
123,674
124,755
125,776
126,673
127,803
128,728
129,820
130,864
131,816
132,858
133,872
134,934
135,927
136,938
137,1011
138,956
139,1011
140,1055
141,1038
142,1020
143,1066
144,1106
145,1154
146,1142
147,1105
148,1140
149,1208
150,1207
151,1189
152,1215
153,1206
154,1245
155,1245
156,1237
157,1296
158,1255
159,1292
160,1288
161,1274
162,1321
163,1312
164,1300
165,1307
166,1306
167,1272
168,1195
169,1248
170,1219
171,1181
172,1195
173,1130
174,1122
175,1115
176,1071
177,1058
178,1058
179,1047
180,1042
181,1018
182,1016
183,982
184,974
185,950
186,939
187,919
188,882
189,906
190,872
191,835
192,875
193,829
194,841
195,840
196,827
197,806
198,800
199,790
200,774
201,766
202,774
203,767
204,723
205,802
206,831
207,866
208,838
209,896
210,888
211,936
212,954
213,970
214,971
215,994
216,1018
217,1073
218,1035
219,1066
220,1096
221,1110
222,1150
223,1145
224,1164
225,1172
226,1196
227,1202
228,1198
229,1248
230,1236
231,1267
232,1283
233,1280
234,1269
235,1292
236,1284
237,1323
238,1304
239,1333
240,1336
241,1338
242,1307
243,1244
244,1234
245,1194
246,1199
247,1151
248,1059
249,1126
250,1074
251,1056
252,1010
253,982
254,958
255,959
256,949
257,964
258,888
259,898
260,888
261,878
262,873
263,865
264,847
265,821
266,824
267,822
268,802
269,772
270,754
271,794
272,712
273,706
274,764
275,704
276,696
277,740
278,653
279,736
280,722
281,747
282,782
283,760
284,843
285,822
286,858
287,863
288,864
289,970
290,952
291,941
292,1037
293,923
294,1090
295,1060
296,1100
297,1098
298,1111
299,1136
300,1152
301,1187
302,1227
303,1158
304,1243
305,1222
306,1227
307,1274
308,1204
309,1302
310,1314
311,1262
312,1326
313,1286
314,1336
315,1319
316,1315
317,1388
318,1328
319,1320
320,1364
321,1291
322,1341
323,1290
324,1241
325,1186
326,1167
327,1214
328,1109
329,1136
330,1116
331,1075
332,1091
333,928
334,948
335,1017
336,941
337,989
338,891
339,898
340,939
341,782
342,924
343,758
344,827
345,831
346,766
347,831
348,720
349,754
350,766
351,764
352,780
353,727
354,786
355,738
356,712
357,788
358,730
359,752
360,788
361,740
362,791
363,778
364,896
365,878
366,864
367,991
368,891
369,1024
370,1004
371,1024
372,1087
373,1042
374,1009
375,1084
376,1091
377,1086
378,1038
379,1195
380,1130
381,1135
382,1222
383,1182
384,1236
385,1232
386,1188
387,1176
388,1222
389,1288
390,1306
391,1214
392,1226
393,1274
394,1304
395,1310
396,1250
397,1336
398,1339
399,1314
400,1299
