Sample Number,ADC Value
1,0
2,0
3,0
4,0
5,4
6,27
7,44
8,54
9,66
10,80
11,90
12,70
13,14
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,29
45,52
46,164
47,302
48,395
49,494
50,598
51,715
52,834
53,934
54,1012
55,1074
56,1117
57,1139
58,1144
59,1139
60,1128
61,1114
62,1098
63,1074
64,1051
65,1033
66,1019
67,1006
68,982
69,942
70,888
71,816
72,734
73,651
74,592
75,555
76,533
77,520
78,505
79,418
80,269
81,118
82,10
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,162
119,293
120,384
121,474
122,607
123,721
124,800
125,858
126,910
127,947
128,975
129,995
130,1006
131,1008
132,1008
133,1006
134,1000
135,995
136,990
137,982
138,974
139,969
140,962
141,956
142,951
143,949
144,945
145,938
146,934
147,930
148,928
149,930
150,932
151,934
152,938
153,942
154,947
155,955
156,968
157,979
158,992
159,999
160,1002
161,1008
162,1014
163,1017
164,992
165,888
166,756
167,627
168,394
169,123
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,134
201,309
202,498
203,688
204,846
205,961
206,1044
207,1104
208,1148
209,1173
210,1179
211,1186
212,1178
213,1172
214,1156
215,1140
216,1130
217,1122
218,1116
219,1110
220,1104
221,1099
222,1098
223,1098
224,1098
225,1098
226,1098
227,1092
228,1084
229,1077
230,1072
231,1070
232,1067
233,1062
234,1056
235,1043
236,1032
237,1032
238,1030
239,1018
240,976
241,884
242,734
243,622
244,398
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,173
277,337
278,514
279,690
280,827
281,922
282,992
283,1048
284,1087
285,1110
286,1118
287,1114
288,1106
289,1102
290,1104
291,1099
292,1088
293,1080
294,1072
295,1065
296,1060
297,1052
298,1046
299,1038
300,1035
301,1034
302,1035
303,1036
304,1042
305,1045
306,1043
307,1043
308,1048
309,1048
310,1058
311,1064
312,1066
313,1064
314,1042
315,964
316,854
317,734
318,642
319,431
320,186
321,4
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,155
353,312
354,466
355,641
356,793
357,898
358,957
359,987
360,1006
361,1019
362,1024
363,1028
364,1027
365,1026
366,1022
367,1020
368,1020
369,1026
370,1034
371,1042
372,1048
373,1050
374,1052
375,1058
376,1048
377,1046
378,1048
379,1054
380,1059
381,1062
382,1064
383,1064
384,1064
385,1062
386,1063
387,1064
388,1064
389,1058
390,1038
391,1026
392,1021
393,1019
394,1021
395,1026
396,1018
397,924
398,754
399,408
400,113
